@RELATION dn2a_lag

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE c-3 REAL
@ATTRIBUTE c-2 REAL
@ATTRIBUTE c-1 REAL
@ATTRIBUTE c REAL

@DATA
-0.363041054,2.620390326,-11.60500386,-10.93070883,-10.26591329,-9.611428839
-0.34795266,2.546328543,-10.93070883,-10.26591329,-9.611428839,-8.968054982
-0.333052441,2.472637035,-10.26591329,-9.611428839,-8.968054982,-8.336578727
-0.318352086,2.399333777,-9.611428839,-8.968054982,-8.336578727,-7.717774201
-0.303863092,2.326436542,-8.968054982,-8.336578727,-7.717774201,-7.112402267
-0.289596758,2.253962891,-8.336578727,-7.717774201,-7.112402267,-6.521210141
-0.275564184,2.181930167,-7.717774201,-7.112402267,-6.521210141,-5.944931019
-0.261776262,2.110355493,-7.112402267,-6.521210141,-5.944931019,-5.384283714
-0.24824367,2.039255762,-6.521210141,-5.944931019,-5.384283714,-4.839972292
-0.234976872,1.968647632,-5.944931019,-5.384283714,-4.839972292,-4.312685719
-0.221986106,1.898547524,-5.384283714,-4.839972292,-4.312685719,-3.803097514
-0.209281385,1.828971611,-4.839972292,-4.312685719,-3.803097514,-3.311865406
-0.19687249,1.759935815,-4.312685719,-3.803097514,-3.311865406,-2.839631006
-0.184768962,1.691455803,-3.803097514,-3.311865406,-2.839631006,-2.387019473
-0.172980105,1.62354698,-3.311865406,-2.839631006,-2.387019473,-1.954639201
-0.161514973,1.556224484,-2.839631006,-2.387019473,-1.954639201,-1.543081503
-0.150382371,1.489503182,-2.387019473,-1.954639201,-1.543081503,-1.15292031
-0.139590851,1.423397662,-1.954639201,-1.543081503,-1.15292031,-0.784711869
-0.129148703,1.357922234,-1.543081503,-1.15292031,-0.784711869,-0.438994461
-0.119063955,1.293090919,-1.15292031,-0.784711869,-0.438994461,-0.116288114
-0.10934437,1.228917448,-0.784711869,-0.438994461,-0.116288114,0.182905669
-0.099997437,1.165415256,-0.438994461,-0.116288114,0.182905669,0.458104172
-0.091030372,1.102597481,-0.116288114,0.182905669,0.458104172,0.708843725
-0.082450113,1.040476953,0.182905669,0.458104172,0.708843725,0.934679953
-0.074263316,0.979066197,0.458104172,0.708843725,0.934679953,1.135188013
-0.066476353,0.918377426,0.708843725,0.934679953,1.135188013,1.309962829
-0.059095304,0.858422535,0.934679953,1.135188013,1.309962829,1.45861931
-0.052125963,0.799213101,1.135188013,1.309962829,1.45861931,1.580792566
-0.045573825,0.740760378,1.309962829,1.45861931,1.580792566,1.676138114
-0.039444091,0.683075292,1.45861931,1.580792566,1.676138114,1.744332072
-0.033741659,0.626168441,1.580792566,1.676138114,1.744332072,1.785071346
